project;bugtype;count
netty;JMH_IGNORED_METHOD_RETURN;88
netty;JMH_STATE_FINAL_FIELD;327
netty;JMH_FIXTURE_USING_INVOCATION_SCOPE;3
druid;JMH_STATE_FINAL_FIELD;332
druid;JMH_IGNORED_METHOD_RETURN;20
druid;JMH_FIXTURE_USING_INVOCATION_SCOPE;1
okio;JMH_IGNORED_METHOD_RETURN;5
okio;JMH_STATE_FINAL_FIELD;34
okio;JMH_FIXTURE_USING_INVOCATION_SCOPE;1
caffeine;JMH_STATE_FINAL_FIELD;25
caffeine;JMH_IGNORED_METHOD_RETURN;1
gs-collections;JMH_STATE_FINAL_FIELD;520
gs-collections;JMH_IGNORED_METHOD_RETURN;41
byte-buddy;JMH_STATE_FINAL_FIELD;42
pinot;JMH_STATE_FINAL_FIELD;54
simple-binary-encoding;JMH_IGNORED_METHOD_RETURN;4
simple-binary-encoding;JMH_STATE_FINAL_FIELD;27
JCTools;JMH_STATE_FINAL_FIELD;355
JCTools;JMH_IGNORED_METHOD_RETURN;8
JCTools;JMH_FIXTURE_USING_INVOCATION_SCOPE;2
apollo;JMH_IGNORED_METHOD_RETURN;1
apollo;JMH_STATE_FINAL_FIELD;12
btrace;JMH_FIXTURE_USING_INVOCATION_SCOPE;3
btrace;JMH_IGNORED_METHOD_RETURN;1
btrace;JMH_STATE_FINAL_FIELD;31
java;JMH_STATE_FINAL_FIELD;6
pushy;JMH_BENCHMARKMODE_SINGLESHOT;1
pushy;JMH_IGNORED_METHOD_RETURN;2
pushy;JMH_STATE_FINAL_FIELD;23
blynk-server;JMH_STATE_FINAL_FIELD;6
rtree;JMH_IGNORED_METHOD_RETURN;5
rtree;JMH_STATE_FINAL_FIELD;26
commonmark-java;JMH_STATE_FINAL_FIELD;19
hppc;JMH_BENCHMARKMODE_SINGLESHOT;3
hppc;JMH_STATE_FINAL_FIELD;32
pgjdbc;JMH_STATE_FINAL_FIELD;89
pgjdbc;JMH_IGNORED_METHOD_RETURN;30
pgjdbc;JMH_NOTFORKED_BENCHMARK;2
xstream;JMH_IGNORED_METHOD_RETURN;2
xstream;JMH_STATE_FINAL_FIELD;30
rxjava-extras;JMH_IGNORED_METHOD_RETURN;1
airlift;JMH_STATE_FINAL_FIELD;38
geo;JMH_IGNORED_METHOD_RETURN;2
geo;JMH_STATE_FINAL_FIELD;7
ohc;JMH_STATE_FINAL_FIELD;37
ohc;JMH_IGNORED_METHOD_RETURN;6
reveno;JMH_IGNORED_METHOD_RETURN;1
reveno;JMH_STATE_FINAL_FIELD;6
indexr;JMH_IGNORED_METHOD_RETURN;9
indexr;JMH_STATE_FINAL_FIELD;2
hpack;JMH_STATE_FINAL_FIELD;18
hpack;JMH_IGNORED_METHOD_RETURN;1
motif;JMH_STATE_FINAL_FIELD;12
bucket4j;JMH_IGNORED_METHOD_RETURN;3
bucket4j;JMH_STATE_FINAL_FIELD;32
aprof;JMH_STATE_FINAL_FIELD;26
sqlg;JMH_STATE_FINAL_FIELD;44
sqlg;JMH_IGNORED_METHOD_RETURN;36
spring-boot-starter-netty;JMH_STATE_FINAL_FIELD;18
aircompressor;JMH_STATE_FINAL_FIELD;18
parity;JMH_IGNORED_METHOD_RETURN;2
parity;JMH_STATE_FINAL_FIELD;13
template-benchmark;JMH_IGNORED_METHOD_RETURN;2
template-benchmark;JMH_STATE_FINAL_FIELD;56
autolink-java;JMH_IGNORED_METHOD_RETURN;1
servicefabric;JMH_IGNORED_METHOD_RETURN;6
servicefabric;JMH_STATE_FINAL_FIELD;8
scalecube;JMH_IGNORED_METHOD_RETURN;6
scalecube;JMH_STATE_FINAL_FIELD;8
injector;JMH_STATE_FINAL_FIELD;6
TridentSDK;JMH_IGNORED_METHOD_RETURN;1
TridentSDK;JMH_STATE_FINAL_FIELD;8
jmh-samples;JMH_STATE_FINAL_FIELD;71
jmh-samples;JMH_IGNORED_METHOD_RETURN;9
completable-futures;JMH_STATE_FINAL_FIELD;6
hashmapTest;JMH_STATE_FINAL_FIELD;18
fixio;JMH_FIXTURE_USING_INVOCATION_SCOPE;1
fixio;JMH_STATE_FINAL_FIELD;7
benchmarks;JMH_IGNORED_METHOD_RETURN;22
benchmarks;JMH_FIXTURE_USING_INVOCATION_SCOPE;20
benchmarks;JMH_STATE_FINAL_FIELD;128
unsafe;JMH_STATE_FINAL_FIELD;45
notification;JMH_STATE_FINAL_FIELD;16
jvm-unsafe-utils;JMH_STATE_FINAL_FIELD;8
benchmarks;JMH_IGNORED_METHOD_RETURN;22
benchmarks;JMH_FIXTURE_USING_INVOCATION_SCOPE;20
benchmarks;JMH_STATE_FINAL_FIELD;128
graph_processing;JMH_IGNORED_METHOD_RETURN;6
graph_processing;JMH_STATE_FINAL_FIELD;24
yauaa;JMH_STATE_FINAL_FIELD;7
directory-kerby;JMH_STATE_FINAL_FIELD;6
gorilla-tsc;JMH_STATE_FINAL_FIELD;12
